Date,Day,Type,Category,Debit Amount,Credit Amount,Closing Balance
01/08/2018,Wednesday,Debit,Shopping,2500,0,174656.42
01/08/2018,Wednesday,Debit,Shopping,324,0,174332.42
02/08/2018,Thursday,None,None,0,0,174332.42
03/08/2018,Friday,Debit,Shopping,404.38,0,173928.04
04/08/2018,Saturday,Debit,Shopping,100,0,173828.04
04/08/2018,Saturday,Debit,Shopping,1395,0,172433.04
04/08/2018,Saturday,Debit,Shopping,225,0,172208.04
04/08/2018,Saturday,Debit,Restaurant,110,0,172098.04
04/08/2018,Saturday,Debit,ATM,10000,0,162098.04
05/08/2018,Sunday,None,None,0,0,162098.04
06/08/2018,Monday,Credit,Interest,0,21.62,162119.66
06/08/2018,Monday,Debit,Shopping,818,0,161301.66
07/08/2018,Tuesday,Debit,Shopping,2704.84,0,158596.82
08/08/2018,Wednesday,None,None,0,0,158596.82
09/08/2018,Thursday,Debit,Shopping,2053,0,156543.82
10/08/2018,Friday,Debit,Medical,659.75,0,155884.07
10/08/2018,Friday,Debit,Entertainment,404.38,0,155479.69
11/08/2018,Saturday,Debit,Travel,577.5,0,154902.19
11/08/2018,Saturday,Debit,Travel,577.5,0,154324.69
11/08/2018,Saturday,Debit,Shopping,921,0,153403.69
11/08/2018,Saturday,Debit,Shopping,108,0,153295.69
11/08/2018,Saturday,Debit,Shopping,853,0,152442.69
11/08/2018,Saturday,Debit,Shopping,397,0,152045.69
11/08/2018,Saturday,Debit,Entertainment,130,0,151915.69
12/08/2018,Sunday,Debit,Shopping,1375,0,150540.69
12/08/2018,Sunday,Debit,Shopping,1024,0,149516.69
13/08/2018,Monday,Debit,Shopping,50,0,149466.69
13/08/2018,Monday,Credit,Interest,0,20.29,149486.98
14/08/2018,Tuesday,Debit,Medical,1305,0,148181.98
14/08/2018,Tuesday,Debit,Shopping,931,0,147250.98
15/08/2018,Wednesday,Debit,ATM,10000,0,137250.98
16/08/2018,Thursday,Debit,Rent,14000,0,123250.98
17/08/2018,Friday,Debit,Shopping,2800.52,0,120450.46
18/08/2018,Saturday,Debit,Shopping,410,0,120040.46
18/08/2018,Saturday,Debit,Shopping,8400,0,111640.46
18/08/2018,Saturday,Debit,Shopping,8296,0,103344.46
18/08/2018,Saturday,Debit,Shopping,11610,0,91734.46
19/08/2018,Sunday,Debit,Shopping,412,0,91322.46
20/08/2018,Monday,Credit,Interest,0,21,91343.46
21/08/2018,Tuesday,None,None,0,0,91343.46
22/08/2018,Wednesday,Debit,ATM,10000,0,81343.46
23/08/2018,Thursday,Debit,Shopping,18777,0,62566.46
23/08/2018,Thursday,Debit,Medical,685,0,61881.46
23/08/2018,Thursday,Debit,Restaurant,126,0,61755.46
24/08/2018,Friday,None,None,0,0,61755.46
25/08/2018,Saturday,Debit,Shopping,548,0,61207.46
25/08/2018,Saturday,Debit,Shopping,399,0,60808.46
25/08/2018,Saturday,Debit,Shopping,445,0,60363.46
25/08/2018,Saturday,Debit,Shopping,764,0,59599.46
25/08/2018,Saturday,Debit,Shopping,386,0,59213.46
25/08/2018,Saturday,Debit,Shopping,772,0,58441.46
25/08/2018,Saturday,Debit,ATM,10000,0,48441.46
25/08/2018,Saturday,Debit,ATM,10000,0,38441.46
26/08/2018,Sunday,None,None,0,0,38441.46
27/08/2018,Monday,Debit,Shopping,2949.49,0,35491.97
28/08/2018,Tuesday,None,None,0,0,35491.97
29/08/2018,Wednesday,Debit,Shopping,1380,0,34111.97
30/08/2018,Thursday,Credit,Interest,0,22.12,34134.09
30/08/2018,Thursday,Debit,Shopping,3300,0,30834.09
31/08/2018,Friday,Debit,Travel,892.5,0,29941.59
31/08/2018,Friday,Debit,Travel,590,0,29351.59
31/08/2018,Friday,Credit,Salary,0,250254,279605.59
31/08/2018,Friday,Debit,Shopping,340,0,279265.59
01/09/2018,Saturday,Debit,Shopping,200,0,279065.59
01/09/2018,Saturday,Debit,Entertainment,33.5,0,279032.09
01/09/2018,Saturday,Debit,Restaurant,830,0,278202.09
02/09/2018,Sunday,None,None,0,0,278202.09
03/09/2018,Monday,None,None,0,0,278202.09
04/09/2018,Tuesday,None,None,0,0,278202.09
05/09/2018,Wednesday,None,None,0,0,278202.09
